group,names,scores,logfoldchanges,pvals,pvals_adj
Naive CD4+ T cells,PRSS23,-8.079727,,9.898197578498705e-16,1.196900470347409e-14
Naive CD4+ T cells,UBB,-8.097658,,3.1578595669414566e-15,3.6969082063938837e-14
Naive CD4+ T cells,CISH,-8.122887,,9.49471755208955e-16,1.155714626539112e-14
Naive CD4+ T cells,S100B,-8.174619,,4.560687041801695e-16,5.625867639484238e-15
Naive CD4+ T cells,AKTIP,-8.20943,,4.1863007936179905e-16,5.198933012614775e-15
Naive CD4+ T cells,CD72,-8.236044,,2.9527456880215586e-16,3.691936445294983e-15
Naive CD4+ T cells,PLEKHF1,-8.244588,,2.753212701127777e-16,3.466030784022503e-15
Naive CD4+ T cells,FCGR3A,-8.244921,,5.096861618580191e-16,6.245354436633593e-15
Naive CD4+ T cells,NEMF,-8.417895,,1.0601540260164707e-16,1.3531688193182454e-15
Naive CD4+ T cells,FCRL6,-8.455554,,4.533515817764536e-17,5.851025367606267e-16
Naive CD4+ T cells,SRP9,-8.488274,,1.0999716888255644e-16,1.3943089407319915e-15
Naive CD4+ T cells,GNLY,-8.525713,,4.028935004488458e-17,5.289416098749847e-16
Naive CD4+ T cells,SPON2,-8.552971,,2.571253936366267e-17,3.4246121268414486e-16
Naive CD4+ T cells,ARPC5L,-8.559079,,4.552212337147422e-17,5.851025367606267e-16
Naive CD4+ T cells,FAM107B,-8.566888,,4.492830739377211e-17,5.851025367606267e-16
Naive CD4+ T cells,PTPN7,-8.65989,,1.2635771051729816e-17,1.720336829116993e-16
Naive CD4+ T cells,PKIG,-8.679635,,6.916869941099473e-18,9.558802219354009e-17
Naive CD4+ T cells,GIMAP7,-8.7279005,,2.0346058350829955e-17,2.7296390692573326e-16
Naive CD4+ T cells,API5,-8.805432,,2.6994344452187167e-18,3.8762191486812506e-17
Naive CD4+ T cells,PTGDR,-8.837519,,1.80799483148841e-18,2.6373765875203948e-17
Naive CD4+ T cells,PPP1R2,-8.844797,,6.135520528848396e-18,8.543247524260114e-17
Naive CD4+ T cells,SELL,-8.889255,,4.991307762610893e-18,7.056941282829863e-17
Naive CD4+ T cells,CD96,-8.896017,,2.03132951315814e-18,2.9398296418776864e-17
Naive CD4+ T cells,GPR171,-8.946922,,7.506297488648922e-19,1.1216727466777822e-17
Naive CD4+ T cells,S1PR5,-8.965939,,5.752897184920967e-19,8.667069693348146e-18
Naive CD4+ T cells,GPR183,-9.179645,,1.7600135636730918e-19,2.6957541083592852e-18
Naive CD4+ T cells,CYB5B,-9.225704,,1.0053836021632745e-19,1.566012763369575e-18
Naive CD4+ T cells,PASK,-9.290287,,3.743880804056963e-20,5.983698189440607e-19
Naive CD4+ T cells,SIRPG,-9.447685,,8.282937781258581e-21,1.359289253745828e-19
Naive CD4+ T cells,STMN1,-9.464838,,7.959511976594413e-21,1.3179804516198677e-19
Naive CD4+ T cells,FCRLA,-9.534828,,3.298257940512091e-21,5.561649628129562e-20
Naive CD4+ T cells,LITAF,-9.588749,,1.0800287551215014e-20,1.7413095192222103e-19
Naive CD4+ T cells,TNFRSF25,-9.735843,,5.806190912256255e-22,9.973625137128033e-21
Naive CD4+ T cells,DENND2D,-9.757014,,1.1861843585024637e-21,2.0187100471551188e-20
Naive CD4+ T cells,XCL2,-10.008564,,3.6082881163174206e-23,6.5663698591994245e-22
Naive CD4+ T cells,AKR1C3,-10.115948,,1.519188582475642e-23,2.8204733480709394e-22
Naive CD4+ T cells,LIMD2,-10.138825,,1.8014930808780855e-22,3.214703187042642e-21
Naive CD4+ T cells,TNFRSF4,-10.18301,,6.753156622557155e-24,1.2929481116937553e-22
Naive CD4+ T cells,APOBEC3G,-10.266238,,1.3032461488974578e-23,2.444251450687273e-22
Naive CD4+ T cells,TRABD2A,-10.3523,,1.9961064221333194e-24,3.9449931224527324e-23
Naive CD4+ T cells,LYAR,-10.388554,,4.024209017772697e-24,7.868612951772571e-23
Naive CD4+ T cells,TIGIT,-10.486112,,3.5582330386203474e-25,7.108730788026302e-24
Naive CD4+ T cells,CD320,-10.547195,,1.7451315865679563e-25,3.563946506791004e-24
Naive CD4+ T cells,ITGB7,-10.596954,,3.055389776613036e-25,6.171215834521714e-24
Naive CD4+ T cells,CLIC3,-10.7743635,,1.613018646779108e-26,3.331155362674158e-25
Naive CD4+ T cells,LDLRAP1,-11.343104,,1.0253659624269419e-28,2.3266946159761965e-27
Naive CD4+ T cells,LINC00926,-11.424469,,1.790730474600528e-29,4.166281787741481e-28
Naive CD4+ T cells,RORA,-11.671192,,2.23192180024926e-30,5.32762632319239e-29
Naive CD4+ T cells,RIC3,-11.87905,,1.3942742215638252e-31,3.510515094841522e-30
Naive CD4+ T cells,ZAP70,-11.91488,,2.4654171827699096e-31,6.123563218825802e-30
Naive CD4+ T cells,GZMB,-12.116309,,9.417849498573919e-33,2.404167691441509e-31
Naive CD4+ T cells,KLRG1,-12.156594,,7.530687666954379e-33,1.9494935115298799e-31
Naive CD4+ T cells,TCL1A,-12.569332,,3.9511779695480524e-35,1.0839201653775106e-33
Naive CD4+ T cells,MS4A1,-12.705424,,2.0769254948251005e-35,5.872906245366976e-34
Naive CD4+ T cells,HINT1,-12.802142,,1.0425233036464507e-33,2.7373683315745377e-32
Naive CD4+ T cells,GZMH,-12.967469,,2.7543107544147037e-37,8.035592327959088e-36
Naive CD4+ T cells,GZMK,-13.146465,,3.80170179694447e-38,1.1645879837973225e-36
Naive CD4+ T cells,FGFBP2,-13.311682,,3.8245936725642275e-39,1.1914581644361102e-37
Naive CD4+ T cells,TRAF3IP3,-13.371632,,8.94641630802539e-37,2.5692989334610415e-35
Naive CD4+ T cells,MAL,-13.4413185,,1.6751643619433975e-39,5.308538098710284e-38
Naive CD4+ T cells,NCR3,-13.560215,,1.5662732798482995e-40,5.140732657787811e-39
Naive CD4+ T cells,SAMD3,-13.991018,,8.595190043926332e-43,3.0380690962954997e-41
Naive CD4+ T cells,CD79B,-14.036956,,7.208815880112882e-42,2.4999629410655617e-40
Naive CD4+ T cells,ITM2A,-14.429267,,3.3617437955838234e-45,1.260996958425116e-43
Naive CD4+ T cells,NKG7,-14.43105,,2.610138663665349e-44,9.406735027091983e-43
Naive CD4+ T cells,PRF1,-14.488673,,1.639408967358842e-45,6.2775701708449e-44
Naive CD4+ T cells,CD79A,-14.726539,,7.8229936520843125e-47,3.125796159245862e-45
Naive CD4+ T cells,GIMAP5,-14.966796,,2.424759186866154e-46,9.482356139276577e-45
Naive CD4+ T cells,HOPX,-17.451262,,1.3622313278184566e-64,6.954947723695343e-63
Naive CD4+ T cells,CCL5,-17.576756,,1.5167224747108366e-63,7.534421374374372e-62
Naive CD4+ T cells,GZMA,-18.46091,,3.20019832533009e-71,1.7299895652813838e-69
Naive CD4+ T cells,ACAP1,-18.925209,,2.7167697627626943e-71,1.5131584315023732e-69
Naive CD4+ T cells,AQP3,-19.347462,,4.474148307137832e-78,2.652736964038495e-76
Naive CD4+ T cells,CST7,-19.728031,,8.612388741664635e-81,5.45847258868262e-79
Naive CD4+ T cells,STK17A,-19.933607,,3.5761315606202626e-78,2.1909766028066808e-76
Naive CD4+ T cells,CTSW,-22.129288,,2.779645566445978e-97,2.043595420451083e-95
Naive CD4+ T cells,CD247,-23.011322,,1.0896454844628911e-105,8.344868335178307e-104
Naive CD4+ T cells,CD2,-27.167286,,9.10894860576072e-142,7.610112516994638e-140
